,Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,SSD,HDD,FlashStorage,Gpu_brand,Price
849,HP,Ultrabook,14.0,1920x1080,8,Windows,1.54,0,0,Intel Core i7,512,0,0,Intel,132120.0
207,Dell,Ultrabook,13.3,3840x2160,8,Windows,1.21,1,1,Intel Core i7,256,0,0,Intel,175410.0
702,Lenovo,Notebook,15.6,1366x768,8,Windows,2.2,0,0,AMD processor,0,1000,0,AMD,38610.0
848,HP,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.28,1,0,Intel Core i5,256,0,0,Intel,204930.0
331,Toshiba,Notebook,15.6,1920x1080,8,Windows,2.0,0,1,Intel Core i5,256,0,0,Intel,84870.0
532,Asus,Notebook,15.6,3840x2160,8,Windows,2.0,0,1,Intel Core i7,1256,1000,0,Nvidia,116910.0
673,Lenovo,Notebook,15.6,1366x768,4,Windows,2.2,0,0,AMD processor,128,0,0,AMD,31410.0
68,Lenovo,Notebook,15.6,1920x1080,4,Windows,1.9,0,0,Intel Core i5,0,1000,0,Intel,49410.0
601,HP,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i3,0,500,0,Intel,60163.2
733,Acer,Notebook,15.6,1366x768,4,Windows,2.4,0,0,Intel Core i5,0,500,0,Intel,50310.0
